risk,rat_present,season,hours_after_sunset,month,bat_landing_to_food
1,1,1,4.154444444,4,4.0
1,1,1,4.165277778,4,9.0
1,1,1,4.170277778,4,12.0
1,1,1,4.173611111,4,11.0
0,1,1,4.198055556,4,2.0
0,1,1,3.127777778,4,0.052214843
0,1,1,3.125,4,1.0
1,1,1,0.4025,4,5.0
0,1,1,0.456388889,4,2.0
0,1,1,4.955,4,7.0
0,1,1,4.976388889,4,2.0
0,1,1,5.536388889,4,5.0
0,1,1,5.566944444,4,4.0
0,1,1,5.591666667,4,4.0
0,1,1,5.595277778,4,16.0
0,1,1,5.916111111,4,1.0
0,1,1,5.937777778,4,2.0
0,1,1,6.456111111,4,3.0
0,1,1,5.563333333,4,4.0
1,1,1,0.138611111,4,30.0
0,1,1,0.243055556,4,28.0
0,1,1,0.605555556,4,2.0
1,1,1,8.714444444,4,27.0
0,1,1,10.01916667,4,5.0
0,1,1,0.164722222,4,1.0
0,1,1,0.200555556,4,5.0
0,1,1,0.216388889,4,0.039481249
1,1,1,1.891666667,4,118.0
1,1,1,1.975555556,4,37.0
1,1,1,2.141944444,4,109.0
0,1,1,2.155555556,4,2.0
0,1,1,2.186388889,4,25.0
0,1,1,2.249444444,4,37.0
0,1,1,2.772222222,4,2.0
0,1,1,5.601666667,4,1.0
1,1,1,5.631388889,4,28.0
1,1,1,5.698611111,4,2.0
0,1,1,5.708055556,4,0.071239584
1,1,1,6.516666667,4,11.0
1,1,1,6.933055556,4,5.0
0,1,1,6.941111111,4,0.033235649
0,1,1,6.947222222,4,3.0
1,1,1,7.027222222,4,15.0
0,1,1,7.033333333,4,1.0
1,1,1,7.060555556,4,1.0
1,1,1,7.0625,4,17.0
0,1,1,7.066944444,4,0.0502264
1,1,1,7.071388889,4,4.0
0,1,1,7.071944444,4,1.0
0,1,1,7.074166667,4,0.057320093
1,1,1,7.073888889,4,2.0
0,1,1,7.076666667,4,2.0
0,1,1,8.218611111,4,1.0
1,1,1,8.223611111,4,6.0
0,1,1,10.69888889,4,4.0
0,1,1,5.695,4,17.0
0,1,1,3.885833333,5,41.0
1,1,1,4.518888889,5,4.0
0,1,1,7.067777778,5,5.0
1,1,1,7.870833333,5,10.0
1,1,1,8.3525,5,23.0
1,1,1,9.072777778,5,2.0
1,1,1,9.085277778,5,5.0
1,1,1,9.3475,5,42.0
0,1,1,10.14583333,5,10.0
1,1,1,10.15638889,5,2.0
1,1,1,7.867222222,5,30.0
1,1,1,9.098888889,5,50.0
0,1,1,6.223055556,5,31.0
1,1,1,7.122777778,5,3.0
0,1,1,7.136944444,5,2.0
0,1,1,7.156666667,5,1.0
0,1,1,7.158055556,5,4.0
0,1,1,7.16,5,5.0
0,1,1,7.208333333,5,21.0
0,1,1,7.221944444,5,7.0
0,1,1,7.225,5,23.0
0,1,1,7.953888889,5,1.0
1,1,1,8.066388889,5,8.0
1,1,1,8.079444444,5,8.0
0,1,1,-0.198611111,5,4.0
0,1,1,-0.175,5,1.0
0,1,1,-0.109444444,5,1.0
0,1,1,2.120277778,5,1.0
0,1,1,2.226111111,5,1.0
0,1,1,2.833888889,5,4.0
0,1,1,3.858611111,5,23.0
0,1,1,4.592777778,5,10.0
0,1,1,5.434166667,5,2.0
1,1,1,5.434722222,5,19.0
0,1,1,5.470833333,5,1.0
1,1,1,5.488055556,5,106.0
1,1,1,5.501666667,5,2.0
1,1,1,5.509166667,5,6.0
0,1,1,5.523055556,5,5.0
1,1,1,5.541388889,5,20.0
0,1,1,5.544722222,5,22.0
0,1,1,5.551666667,5,7.0
1,1,1,5.605555556,5,4.0
1,1,1,6.248333333,5,2.0
0,1,1,6.9525,5,5.0
1,1,1,6.995555556,5,0.010871342
1,1,1,7.008055556,5,4.0
1,1,1,7.016944444,5,6.0
0,1,1,7.519722222,5,30.0
0,1,1,8.5025,5,1.0
1,1,1,9.026111111,5,23.0
0,1,1,9.813055556,5,0.019932178
1,1,1,5.513611111,5,22.0
1,1,1,6.92,5,443.0
1,1,1,7.024166667,5,7.0
1,1,1,5.644166667,5,4.0
0,1,1,7.147777778,5,2.0
0,1,1,7.168611111,5,7.0
1,1,1,7.179166667,5,5.0
0,1,1,7.794166667,5,3.0
1,1,1,9.301111111,5,3.0
1,1,1,9.311388889,5,44.0
0,1,1,2.702222222,5,4.0
0,1,1,2.727222222,5,1.0
1,1,1,2.758611111,5,7.0
1,1,1,2.761388889,5,24.0
1,1,1,4.505833333,5,22.0
1,1,1,7.314722222,5,2.0
1,1,1,7.326666667,5,21.0
1,1,1,7.336388889,5,8.0
1,1,1,9.059444444,5,8.0
0,1,1,6.753888889,5,10.0
0,1,1,3.234444444,5,1.0
1,1,1,3.235833333,5,9.0
1,1,1,3.272222222,5,4.0
1,1,1,4.299166667,5,3.0
1,1,1,4.306388889,5,1.0
1,1,1,4.388055556,5,11.0
1,1,1,4.396388889,5,34.0
1,1,1,4.438333333,5,16.0
0,1,1,-0.261666667,5,0.068724243
0,1,1,9.5375,5,1.0
1,1,1,3.736111111,5,83.0
0,1,1,3.574166667,5,0.062303811
